#Contraste,#Energia,#Homogeneidad,#Momento_Hu1,#Momento_Hu2,#Momento_Hu3,#Momento_Hu4,#Momento_Hu5,#Momento_Hu6,#Momento_Hu7,#Media_Color_R,#Media_Color_G,#Media_Color_B,#Desv_Estandar_Color_R,#Desv_Estandar_Color_G,#Desv_Estandar_Color_B,#Clase
0.974152141,0.330652656,10.11642031,0.002364134,1.90E-06,1.47E-09,1.24E-10,-5.13E-20,-1.22E-13,1.35E-20,126.6957447,105.1075887,109.8299291,16.10435108,25.59615412,23.60710641,4
0.932973509,0.407254781,9.048368699,0.001838639,4.30E-07,9.48E-11,4.38E-11,2.82E-21,-1.45E-14,2.36E-23,97.03087951,98.87634409,113.5558313,46.54429347,63.062741,70.28416943,2
0.921302567,0.419518552,9.424537028,0.001961839,1.43E-07,6.28E-10,1.72E-10,5.45E-20,2.91E-14,1.49E-20,135.1517422,92.63013937,106.4045296,56.68641787,55.42368924,50.31725254,1
0.972822824,0.25656793,10.87718842,0.001081423,3.21E-08,5.70E-11,3.04E-11,9.28E-22,5.32E-15,8.65E-22,175.8540333,140.7856914,164.5942702,15.69471517,48.14123754,27.74809655,4
0.931966754,0.189264969,11.35921758,0.004281113,1.74E-07,1.20E-08,1.55E-08,1.30E-16,-6.46E-12,-1.67E-16,151.8656911,76.3271492,109.9858897,19.19372969,35.68962029,27.92533738,4
0.987122264,0.289028249,10.80918938,0.001389867,1.82E-07,7.95E-11,7.43E-11,1.74E-21,1.61E-14,5.44E-21,139.7576068,124.9468852,155.9858108,19.92819109,74.55246286,54.54802483,2
0.910810114,0.3636372,9.629493911,0.001850138,1.33E-08,2.15E-11,7.68E-11,1.20E-21,-4.34E-15,-2.88E-21,112.6046729,107.9866355,134.7520561,32.84710796,49.44526766,42.8268926,3
0.904344317,0.217983759,10.57547308,0.001648179,1.79E-07,9.30E-10,4.47E-10,2.84E-19,7.01E-14,5.33E-20,115.6481633,104.4318367,140.7987755,28.02190628,51.13112043,42.23030055,1
0.976257918,0.318779599,10.59126591,0.001707609,3.04E-07,1.51E-10,5.14E-11,-3.24E-21,-2.76E-14,3.17E-21,157.4137129,129.3680909,143.0846201,19.03418033,37.5152413,29.63350133,4
0.931408609,0.412539454,9.343532936,0.004048124,2.97E-06,1.22E-08,1.36E-08,1.10E-16,1.91E-11,1.36E-16,90.00705816,74.94339356,101.695511,41.2734673,45.79196492,50.60967681,3
0.97790813,0.257095793,11.22175639,0.001543135,2.97E-08,2.01E-10,1.14E-10,1.68E-20,-1.83E-14,-4.56E-21,158.0278643,109.5962271,139.3245933,12.42585148,48.6277245,26.00181293,4
